Card Name,Card ID,Type,Plays,Wins,Losses,Draws,Win Rate
"Spellslinger",410,"Avatar",8,5,3,0,62.5%
"Savior",1007,"Avatar",3,1,2,0,33.3%
"Sorcerer",403,"Avatar",2,1,1,0,50.0%
"Geomancer",407,"Avatar",1,0,1,0,0.0%
"Flamecaller",408,"Avatar",1,1,0,0,100.0%
"Necromancer",946,"Avatar",1,0,1,0,0.0%
"Sparkmage",406,"Avatar",1,1,0,0,100.0%
"Waveshaper",409,"Avatar",1,0,1,0,0.0%
"Autumn Bloom",699,"Site",2,2,0,0,100.0%
"Gothic Tower",328,"Site",2,2,0,0,100.0%
"Silent Hills",1025,"Site",2,2,0,0,100.0%
"Hamlet",485,"Site",2,2,0,0,100.0%
"Fertile Earth",818,"Site",1,1,0,0,100.0%
"Algae Bloom",680,"Site",1,1,0,0,100.0%
"Poisoned Well",534,"Site",1,1,0,0,100.0%
"Joyous Garde",497,"Site",1,1,0,0,100.0%
"Quagmire",340,"Site",1,1,0,0,100.0%
"Windmill",371,"Site",1,1,0,0,100.0%
"Lookout",511,"Site",1,1,0,0,100.0%
"Common Village",452,"Site",1,1,0,0,100.0%
"Cornerstone",376,"Site",1,1,0,0,100.0%
"Rustic Village",342,"Site",1,1,0,0,100.0%
"Hunter's Lodge",490,"Site",1,1,0,0,100.0%
"Dark Tower",327,"Site",1,1,0,0,100.0%
"Arid Desert",346,"Site",1,1,0,0,100.0%
"Spire",411,"Site",6,4,2,0,66.7%
"Vast Desert",1084,"Site",3,2,1,0,66.7%
"Accursed Tower",673,"Site",3,2,1,0,66.7%
"Valley",413,"Site",8,5,3,0,62.5%
"Stream",412,"Site",5,3,2,0,60.0%
"Hillside Chapel",871,"Site",2,1,1,0,50.0%
"Leadworks",906,"Site",2,1,1,0,50.0%
"Open Mausoleum",960,"Site",2,1,1,0,50.0%
"Wasteland",414,"Site",9,4,5,0,44.4%
"Spore Spouts",1040,"Site",3,1,2,0,33.3%
"Humble Village",337,"Site",2,0,2,0,0.0%
"Pond",535,"Site",2,0,2,0,0.0%
"Dread Thicket",790,"Site",1,0,1,0,0.0%
"River of Blood",660,"Site",1,0,1,0,0.0%
"Ghost Town",835,"Site",1,0,1,0,0.0%
"Tournament Grounds",610,"Site",1,0,1,0,0.0%
"Cursed Land",454,"Site",1,0,1,0,0.0%
"Forsaken Crypt",827,"Site",1,0,1,0,0.0%
"Shrike Orchard",1024,"Site",1,0,1,0,0.0%
"Desert Bloom",779,"Site",1,0,1,0,0.0%
"Accursed Desert",672,"Site",1,0,1,0,0.0%
"Bonfire",435,"Site",1,0,1,0,0.0%
"Troubled Town",1077,"Site",1,0,1,0,0.0%
"Blessed Well",722,"Site",1,0,1,0,0.0%
"Raise Militia",986,"Magic",3,3,0,0,100.0%
"Reckless Squire",543,"Minion",2,2,0,0,100.0%
"Vampire Bats",1081,"Minion",2,2,0,0,100.0%
"Sacred Scarabs",168,"Minion",2,2,0,0,100.0%
"Zombie Horde",1103,"Minion",2,2,0,0,100.0%
"Ominous Owl",526,"Minion",2,2,0,0,100.0%
"Search Party",1012,"Minion",2,2,0,0,100.0%
"Bless",720,"Magic",2,2,0,0,100.0%
"Entombed",804,"Minion",2,2,0,0,100.0%
"Spectral Stalker",38,"Minion",2,2,0,0,100.0%
"Redbreast Robin",544,"Minion",2,2,0,0,100.0%
"Gift of the Wolf",841,"Magic",1,1,0,0,100.0%
"Muddy Pigs",941,"Minion",1,1,0,0,100.0%
"Moss Troll",937,"Minion",1,1,0,0,100.0%
"Baptize",704,"Magic",1,1,0,0,100.0%
"Landmass",904,"Magic",1,1,0,0,100.0%
"Instigator Imp",888,"Minion",1,1,0,0,100.0%
"Burning Hands",442,"Magic",1,1,0,0,100.0%
"Cauldron Crones",145,"Minion",1,1,0,0,100.0%
"Teleport",62,"Magic",1,1,0,0,100.0%
"Merlin",517,"Minion",1,1,0,0,100.0%
"Zephyranne Airship",44,"Minion",1,1,0,0,100.0%
"The Lady of the Lake",601,"Minion",1,1,0,0,100.0%
"Palliburrie Bats",24,"Minion",1,1,0,0,100.0%
"Willing Tribute",1093,"Minion",1,1,0,0,100.0%
"Revered Revenant",998,"Minion",1,1,0,0,100.0%
"Nightwatchmen",949,"Minion",1,1,0,0,100.0%
"Forsaken",826,"Minion",1,1,0,0,100.0%
"Avenging Angel",700,"Minion",1,1,0,0,100.0%
"Buried Alive",736,"Magic",1,1,0,0,100.0%
"Saracen Scout",553,"Minion",1,1,0,0,100.0%
"Petrosian Cavalry",163,"Minion",1,1,0,0,100.0%
"Band of Thieves",427,"Minion",1,1,0,0,100.0%
"Khamaseen Mummy",897,"Minion",1,1,0,0,100.0%
"Älvalinne Dryads",72,"Minion",1,1,0,0,100.0%
"Hamlet's Ablaze!",486,"Aura",1,1,0,0,100.0%
"Wall of Brambles",623,"Aura",1,1,0,0,100.0%
"Beast of Burden",143,"Minion",1,1,0,0,100.0%
"Men of Leng",19,"Minion",1,1,0,0,100.0%
"Whirlwind",627,"Magic",1,1,0,0,100.0%
"Tax Collector",593,"Minion",1,1,0,0,100.0%
"Scarecrow",314,"Artifact",1,1,0,0,100.0%
"Ferryman's Coin",817,"Artifact",1,1,0,0,100.0%
"Gibbous Nightgaunts",837,"Minion",1,1,0,0,100.0%
"Kissers of Wounds",898,"Minion",1,1,0,0,100.0%
"Cemetery Rats",741,"Minion",1,1,0,0,100.0%
"Barrow Wight",706,"Minion",1,1,0,0,100.0%
"Paladins of Bazia",968,"Minion",1,1,0,0,100.0%
"Renatus Trueblood",995,"Minion",1,1,0,0,100.0%
"Gossamer Ghost",848,"Minion",1,1,0,0,100.0%
