Card Name,Card ID,Type,Plays,Wins,Losses,Draws,Win Rate
"Spellslinger",410,"Avatar",32,17,14,1,54.8%
"Sorcerer",403,"Avatar",6,2,4,0,33.3%
"Necromancer",946,"Avatar",6,4,2,0,66.7%
"Sparkmage",406,"Avatar",4,2,2,0,50.0%
"Harbinger",857,"Avatar",4,2,2,0,50.0%
"Geomancer",407,"Avatar",3,2,1,0,66.7%
"Persecutor",974,"Avatar",3,1,2,0,33.3%
"Flamecaller",408,"Avatar",3,1,2,0,33.3%
"Savior",1007,"Avatar",3,0,3,0,0.0%
"Waveshaper",409,"Avatar",2,0,2,0,0.0%
"Dragonlord",637,"Avatar",1,0,0,1,0.0%
"Remote Desert",350,"Site",4,4,0,0,100.0%
"Haystack",661,"Site",3,3,0,0,100.0%
"Bonfire",435,"Site",2,2,0,0,100.0%
"Annual Fair",418,"Site",2,2,0,0,100.0%
"Babbling Brook",424,"Site",2,1,0,1,100.0%
"Ruins",368,"Site",2,2,0,0,100.0%
"Shrike Orchard",1024,"Site",2,2,0,0,100.0%
"Thin Ice",1066,"Site",2,2,0,0,100.0%
"Pond",535,"Site",2,2,0,0,100.0%
"Hunter's Lodge",490,"Site",2,2,0,0,100.0%
"Updraft Ridge",332,"Site",1,1,0,0,100.0%
"Accursed Tower",673,"Site",1,1,0,0,100.0%
"Poisoned Well",534,"Site",1,1,0,0,100.0%
"Den of Evil",775,"Site",6,5,1,0,83.3%
"Humble Village",337,"Site",6,5,1,0,83.3%
"Lookout",511,"Site",4,3,1,0,75.0%
"Fields of Phyxis",662,"Site",4,3,1,0,75.0%
"Valley",413,"Site",17,10,5,2,66.7%
"Open Grave",959,"Site",7,4,2,1,66.7%
"Spring River",360,"Site",3,2,1,0,66.7%
"Active Volcano",676,"Site",3,2,1,0,66.7%
"Dark Tower",327,"Site",5,3,2,0,60.0%
"Silent Hills",1025,"Site",5,3,2,0,60.0%
"Spore Spouts",1040,"Site",5,3,2,0,60.0%
"Spire",411,"Site",25,12,11,2,52.2%
"Blessed Well",722,"Site",6,3,3,0,50.0%
"Open Mausoleum",960,"Site",6,3,3,0,50.0%
"Lone Tower",329,"Site",6,3,3,0,50.0%
"Valley of Delight",615,"Site",4,2,2,0,50.0%
